param_n_estimators,param_max_depth,param_min_samples_split,mean_test_score,std_test_score,rank_test_score
100,3,2,0.6164502164502164,0.04290739980385754,1
150,3,2,0.6147148178267722,0.07195472525553748,2
150,3,5,0.6109052940172484,0.06851703471735471,3
50,5,5,0.6095721047039506,0.047691136060266814,4
100,3,5,0.6076067323481116,0.056666051078206665,5
50,3,2,0.6064511360099595,0.07285669574293555,6
150,7,5,0.6061133039074216,0.058610937118426895,7
100,7,5,0.6025,0.06305973844098069,8
50,7,2,0.6015025834380674,0.07429773064304526,9
50,7,5,0.6007639419404125,0.035353412054701175,10
50,5,2,0.5951627547570753,0.08310897970496185,11
50,3,5,0.5938347763347763,0.08740305154067804,12
150,7,2,0.5873676678230757,0.07758165733357951,13
100,5,2,0.5848484848484847,0.07878787878787877,14
150,5,5,0.584846538801914,0.07159161338415782,15
150,5,2,0.5684523809523808,0.09070303642285923,16
100,7,2,0.5642379679144385,0.06982155859277975,17
100,5,5,0.5491081593927893,0.04625968882554729,18
